id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin,id_right,num,name,region_id,region_name,commune_id,id_right,code_right,nom_right,nom_norm_right,lon_right,lat_right,is_irisee,arrondissement_code,arrondissement_nom,type_right,grd_quart_code,grd_quart_nom,in_ctu,date_right,is_main,code_postal,code_insee
38205,38205,Lans-en-Vercors,LANS EN VERCORS,5.590174744520857,45.12096587480208,243801024.0,Communauté de communes du Massif du Vercors,38548,Villard-de-Lans,8409.0,Grenoble,381,Grenoble,38,2025-06-26 23:12:23.935718,,,1947-05-09,,COM,Lans,LANS,1947-05-09,38,38,Isère,84,Auvergne-Rhône-Alpes,38205,382050000,382050000,Lans-en-Vercors,LANS EN VERCORS,5.590174744520857,45.12096587480208,f,38205,Lans-en-Vercors,C,3820500,,f,2025-06-26 23:17:50.305395,t,38250,38205
38433,38433,Saint-Nizier-du-Moucherotte,SAINT NIZIER DU MOUCHEROTTE,5.631373632151672,45.16484563108762,243801024.0,Communauté de communes du Massif du Vercors,38185,Grenoble,8409.0,Grenoble,381,Grenoble,38,2025-06-26 23:12:57.950572,,,1943-01-01,,,,,,38,38,Isère,84,Auvergne-Rhône-Alpes,38433,384330000,384330000,Saint-Nizier-du-Moucherotte,SAINT NIZIER DU MOUCHEROTTE,5.631373632151672,45.16484563108762,f,38433,Saint-Nizier-du-Moucherotte,C,3843300,,f,2025-06-26 23:18:18.892102,t,38250,38433
38548,38548,Villard-de-Lans,VILLARD DE LANS,5.543916548208792,45.06011690088417,243801024.0,Communauté de communes du Massif du Vercors,38548,Villard-de-Lans,8409.0,Grenoble,381,Grenoble,38,2025-06-26 23:12:53.068485,,,1943-01-01,,,,,,38,38,Isère,84,Auvergne-Rhône-Alpes,38548,385480000,385480000,Villard-de-Lans,VILLARD DE LANS,5.543916548208792,45.06011690088417,f,38548,Villard-de-Lans,C,3854800,,f,2025-06-26 23:18:14.343071,t,38250,38548
38129,38129,Corrençon-en-Vercors,CORRENCON EN VERCORS,5.517578182927639,45.01170945527426,243801024.0,Communauté de communes du Massif du Vercors,38548,Villard-de-Lans,8409.0,Grenoble,381,Grenoble,38,2025-06-26 23:12:32.51538,,,1952-06-18,,COM,Corrençon,CORRENCON,1952-06-18,38,38,Isère,84,Auvergne-Rhône-Alpes,38129,381290000,381290000,Corrençon-en-Vercors,CORRENCON EN VERCORS,5.517578182927639,45.01170945527426,f,38129,Corrençon-en-Vercors,C,3812900,,f,2025-06-26 23:17:58.185421,t,38250,38129
